nome;provincia;codiceCatastale
Roma;RM;H501
Milano;MI;F205
Torino;TO;L219
Napoli;NA;F839
Palermo;PA;G273
Genova;GE;D969
Bologna;BO;A944
Firenze;FI;D612
Bari;BA;A662
Catania;CT;C351
Venezia;VE;L736
Verona;VR;L781
Padova;PD;G224
Trieste;TS;L424
Brescia;BS;B157
Parma;PR;G337
Modena;MO;F257
Reggio Calabria;RC;H224
Reggio Emilia;RE;H223
Perugia;PG;G478
Livorno;LI;E625
Ravenna;RA;H199
Cagliari;CA;B354
Foggia;FG;D643
Rimini;RN;H294
Salerno;SA;H703
Ferrara;FE;D548
Sassari;SS;I452
Latina;LT;E472
Monza;MB;F704
Siracusa;SR;I754
Pescara;PE;G482
Bergamo;BG;A794
Forli;FC;D704
Trento;TN;L378
Vicenza;VI;L840
Terni;TR;L117
Bolzano;BZ;A952
Novara;NO;F952
Piacenza;PC;G535
Ancona;AN;A271
Arezzo;AR;A390
Udine;UD;L483
Lecce;LE;E506
Pesaro;PU;G479
Alessandria;AL;A182
La Spezia;SP;E463
Pisa;PI;G702
Catanzaro;CZ;C352
Brindisi;BR;B180
Lucca;LU;E715
Treviso;TV;L407
Como;CO;C933
Busto Arsizio;VA;B300
Varese;VA;L682
Grosseto;GR;E202
Cosenza;CS;D086
Cremona;CR;D150
Pavia;PV;G388
Trapani;TP;L331
Massa;MS;F023
Crotone;KR;D122
Asti;AT;A479
Caltanissetta;CL;B429
Carpi;MO;B819
Benevento;BN;A783
Savona;SV;I480
Matera;MT;F052
Potenza;PZ;G942
Campobasso;CB;B519
Aosta;AO;A326
L'Aquila;AQ;A345
